program_name,pdf,Address,City,Zip
AMANDA'S GARDEN,https://childcaresearch.ohio.gov//pdf/000000104957_2024-07-09_ANNUAL.pdf,6709 CLEVELAND RD,RAVENNA,44266
AMANI'S EARLY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002210024403_2024-10-17_ANNUAL.pdf,26840 BROOKPARK ROAD EXT.,NORTH OLMSTED,44070
AMARI JAMES ACADEMY OF EARLY LEARNING- FAIRFIELD CAMPUS,https://childcaresearch.ohio.gov//pdf/002180017719_2023-08-15_ANNUAL.pdf,7275 DIXIE HWY SUITE A,FAIRFIELD,45014
AMAZING ADVENTURES,https://childcaresearch.ohio.gov//pdf/000000307442_2024-09-18_ANNUAL.pdf,1053 YOUNGSTOWN WARREN ROAD,NILES,44446
AMAZING KIDS ACADEMY,https://childcaresearch.ohio.gov//pdf/000000409946_2024-10-16_ANNUAL.pdf,4501 HOOVER ROAD,GROVE CITY,43123
AMAZING KIDS LEARNING ACADEMY CENTER LLC,https://childcaresearch.ohio.gov//pdf/002180018386_2024-01-10_ANNUAL.pdf,5011 CHATTERTON RD,COLUMBUS,43232
AMBOY UNITED METHODIST PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000301860_2024-11-07_ANNUAL.pdf,550 W MAIN RD,CONNEAUT,44030
AMERICAN LEARNING CENTER LLC,https://childcaresearch.ohio.gov//pdf/000000400168_2024-12-12_ANNUAL.pdf,5454 WESTERVILLE ROAD,WESTERVILLE RD,43081
AMERICAN SCHOOL FOR WOMEN & CHILDREN,https://childcaresearch.ohio.gov//pdf/000000500124_2024-10-15_ANNUAL.pdf,20 ARCO DRIVE,TOLEDO,43607
AMERICA'S CHILDCARE LLC,https://childcaresearch.ohio.gov//pdf/000000400478_2024-10-10_ANNUAL.pdf,3427 SOUTH BOULEVARD,COLUMBUS,43204
AMOR BEBE LEARNING ACADEMY LLC,https://childcaresearch.ohio.gov//pdf/002210025235_2024-07-09_ANNUAL.pdf,3624 GENDER ROAD,CANAL WINCHESTER,43110
ANDERSON HILLS PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000200576_2024-10-11_ANNUAL.pdf,7515 FOREST RD,CINCINNATI,45255
ANGELA'S CIRCLE OF FRIENDS CHILD CARE,https://childcaresearch.ohio.gov//pdf/000000406159_2024-07-15_ANNUAL.pdf,2910 STONE CIRCLE DRIVE,TROY,45373
ANGELS DAYCARE,https://childcaresearch.ohio.gov//pdf/002220027065_2024-10-07_ANNUAL.pdf,5736 CHEVROLET BOULEVARD,PARMA,44130
ANGELS LAND HERE,https://childcaresearch.ohio.gov//pdf/002230027603_2024-09-18_ANNUAL.pdf,364 W EXCHANGE STREET,AKRON,44302
ANGELS ON EARTH CHILDCARE,https://childcaresearch.ohio.gov//pdf/000000305917_2024-08-06_ANNUAL.pdf,13439 LORAIN ROAD,CLEVELAND,44111
"ANGELSWING,INC. CHILD CARE CENTER",https://childcaresearch.ohio.gov//pdf/000000300598_2025-01-09_ANNUAL.pdf,8090 BROADMOOR RD,MENTOR,44060
ANGIE'S ANGELS,https://childcaresearch.ohio.gov//pdf/000000500323_2024-09-04_ANNUAL.pdf,1517 EAST STATE STREET,FREMONT,43420
"ANN'S BRIGHT BEGINNINGS PRESCHOOL, LTD",https://childcaresearch.ohio.gov//pdf/000000503500_2024-09-04_ANNUAL.pdf,211 EMERALD ROAD,PAULDING,45879
ANTIOCH NURSERY SCHOOL AND AFTER SCHOOL PROGRAM,https://childcaresearch.ohio.gov//pdf/000000404836_2024-01-31_ANNUAL.pdf,1160 CORRY ST,YELLOW SPRINGS,45387
APOLLO AFTER SCHOOL AT BRYDEN ELEMENTARY SCHOOL,https://childcaresearch.ohio.gov//pdf/002210024745_2024-01-16_ANNUAL.pdf,25501 BRYDEN ROAD,BEACHWOOD,44122
APOLLO AFTER SCHOOL AT FAIRMOUNT EARLY CHILDHOOD CENTER,https://childcaresearch.ohio.gov//pdf/002220026073_2024-09-17_ANNUAL.pdf,24601 FAIRMOUNT BOULEVARD,BEACHWOOD,44122
APOLLO AFTER SCHOOL AT HILLTOP ELEMENTARY SCHOOL,https://childcaresearch.ohio.gov//pdf/002210024746_2024-10-22_ANNUAL.pdf,24524 HILLTOP DRIVE,BEACHWOOD,44122
APPLE OF MY EYE CHILD CARE CENTER LLC,https://childcaresearch.ohio.gov//pdf/000000300265_2024-07-18_ANNUAL.pdf,8504 DETROIT AVE,CLEVELAND,44102
APPLE TREE PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000307142_2024-10-01_ANNUAL.pdf,8223 PARK AVE,GARRETSVILLE,44231
APPLES OF GOLD CHILDCARE 2,https://childcaresearch.ohio.gov//pdf/000000300411_2024-02-02_ANNUAL.pdf,10370 ST.CLAIR,CLEVELAND,44108
APPLES OF GOLD CHILDCARE 3,https://childcaresearch.ohio.gov//pdf/000000300841_2024-01-22_ANNUAL.pdf,14904 LAKESHORE,CLEVELAND,44110
APPLES OF GOLD ENRICHMENT CENTER,https://childcaresearch.ohio.gov//pdf/002170014793_2024-03-26_ANNUAL.pdf,4215 BLUESTONE,SOUTH EUCLID,44121
APRICOT SCHOOLS LLC,https://childcaresearch.ohio.gov//pdf/002200022264_2024-11-01_ANNUAL.pdf,5612 HALL RD,GALLOWAY,43119
ARCHES OAK HILLS CHILDCARE,https://childcaresearch.ohio.gov//pdf/000000200080_2024-02-13_ANNUAL.pdf,6453 BRIDGETOWN ROAD,CINCINNATI,45248
ARK LEARNING AND ARTS ACADEMY,https://childcaresearch.ohio.gov//pdf/000000501543_2024-11-20_ANNUAL.pdf,400 WAYNE ST,DEFIANCE,43512
ARLITT CHILD DEVELOPMENT CENTER,https://childcaresearch.ohio.gov//pdf/000000203053_2024-02-06_ANNUAL.pdf,47 CORRY BOULEVARD,CINCINNATI,45221
ARMSTRONG CHAPEL UNITED METHODIST PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000200534_2024-11-07_ANNUAL.pdf,5125 DRAKE RD,CINCINNATI,45243
AROUND THE CLOCK II,https://childcaresearch.ohio.gov//pdf/002190021105_2024-08-07_ANNUAL.pdf,920 MCMANNESS AVE,FINDLAY,45840
AROUND THE CLOCK INC,https://childcaresearch.ohio.gov//pdf/000000503104_2024-10-02_ANNUAL.pdf,20613 SR 37,MT BLANCHARD,45867
AROUND THE SUN MONTESSORI SCHOOL,https://childcaresearch.ohio.gov//pdf/000000306959_2023-12-18_ANNUAL.pdf,4797 SHARON-COPLEY ROAD,MEDINA,44256
ASCENSION LUTHERAN EARLY CHILDHOOD CENTER,https://childcaresearch.ohio.gov//pdf/000000301423_2024-09-26_ANNUAL.pdf,28081 LORAIN RD,NORTH OLMSTED,44070
ASD COVE - HURON PRIMARY,https://childcaresearch.ohio.gov//pdf/000000300765_2024-11-19_ANNUAL.pdf,2302 WADE AVENUE,ASHTABULA,44004
ASHLAND FAMILY YMCA,https://childcaresearch.ohio.gov//pdf/000000104860_2023-12-12_ANNUAL.pdf,207 MILLER ST,ASHLAND,44805
ASHLAND HEAD START CENTER,https://childcaresearch.ohio.gov//pdf/000000411049_2023-10-18_ANNUAL.pdf,527 E. LIBERTY ST,ASHLAND,44805
ASHLAND MONTESSORI SCHOOL,https://childcaresearch.ohio.gov//pdf/000000409507_2024-10-09_ANNUAL.pdf,1515 MIFFLIN AVENUE,ASHLAND,44805
ASHLAND WEST HEAD START,https://childcaresearch.ohio.gov//pdf/002190020961_2024-12-10_ANNUAL.pdf,1797 SEDDON COURT,ASHLAND,44805
ASHTABULA COUNTY COMMUNITY ACTION AGENCY HEAD START - STATE ROAD,https://childcaresearch.ohio.gov//pdf/002200022508_2024-12-11_ANNUAL.pdf,4200 STATE ROAD,ASHTABULA,44004
ASHTABULA COUNTY FAMILY Y CHILD CARE,https://childcaresearch.ohio.gov//pdf/000000304140_2024-08-13_ANNUAL.pdf,263 PROSPECT RD,ASHTABULA,44004
ASHTABULA COUNTY FAMILY YMCA @ GENEVA AREA CITY SCHOOLS/AUSTINBURG ELEMENTARY,https://childcaresearch.ohio.gov//pdf/002220026396_2024-10-16_ANNUAL.pdf,3030 SR-307,AUSTINBURG,44010
ASHTABULA COUNTY HEAD START,https://childcaresearch.ohio.gov//pdf/000000307882_2024-10-02_ANNUAL.pdf,4510 MAIN AVE,ASHTABULA,44004
ASHTABULA COUNTY HEAD START - ANDOVER,https://childcaresearch.ohio.gov//pdf/000000308476_2024-10-29_ANNUAL.pdf,5571 US RT 6 WEST,ANDOVER,44003
ASHTABULA COUNTY HEAD START - CONNEAUT,https://childcaresearch.ohio.gov//pdf/000000300703_2024-11-05_ANNUAL.pdf,755 CHESTNUT STREET,CONNEAUT,44430
ASHVILLE HEAD START`,https://childcaresearch.ohio.gov//pdf/000000408253_2024-09-05_ANNUAL.pdf,97 MILLER AVE,ASHVILLE,43103
ASHVILLE Y-CLUB,https://childcaresearch.ohio.gov//pdf/002180017893_2024-11-07_ANNUAL.pdf,90 WALNUT STREET,ASHVILLE,43103
ASSEMBLY OF GOD PRESCHOOL & DAY CARE (DBA:M1 KIDS ACADEMY),https://childcaresearch.ohio.gov//pdf/000000401298_2024-01-09_ANNUAL.pdf,1000 MC PHERSON ST,MANSFIELD,44906
ATHENS COMMUNITY CENTER,https://childcaresearch.ohio.gov//pdf/000000406646_2023-08-28_ANNUAL.pdf,701 E STATE STREET,ATHENS,45701
ATHENS HEAD START,https://childcaresearch.ohio.gov//pdf/000000408310_2024-11-21_ANNUAL.pdf,507 RICHLAND AVE,ATHENS,45701
ATONEMENT LUTHERAN PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000403135_2024-11-13_ANNUAL.pdf,1621 FRANCISCO RD,COLUMBUS,43220
AULTMAN WOMEN'S BOARD CHILD CARE CENTER,https://childcaresearch.ohio.gov//pdf/000000102568_2025-01-02_ANNUAL.pdf,125 DARTMOUTH AVE SW,CANTON,44710
AUNTIE JANS LEARNING CENTER LLC,https://childcaresearch.ohio.gov//pdf/002180018793_2024-09-03_ANNUAL.pdf,4859 DOUGLAS RD.,TOLEDO,43606
AUNTIES KIDS LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200830_2025-01-13_ANNUAL.pdf,7865 HAMILTON AVE,CINCINNATI,45231
AUNTTDAYCARE LLC,https://childcaresearch.ohio.gov//pdf/000000300881_2024-08-20_ANNUAL.pdf,607 E125TH ST,CLEVELAND,44108
AURORA CHILDREN'S DAY CENTER II,https://childcaresearch.ohio.gov//pdf/000000105681_2024-07-12_ANNUAL.pdf,224 E GARFIELD ROAD,AURORA,44202
AURORA CHILDREN'S EARLY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000105246_2024-01-24_ANNUAL.pdf,216 E GARFIELD ROAD,AURORA,44202
AUSTINTOWN COMMUNITY CHURCH PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000100638_2024-08-14_ANNUAL.pdf,242 S CANFIELD NILES RD,YOUNGSTOWN,44515
AUTHENTIC EXPERIENCES,https://childcaresearch.ohio.gov//pdf/000000300577_2024-02-08_ANNUAL.pdf,14721 HARVARD AVENUE,CLEVELAND,44128
AUTHENTIC EXPERIENCES AND ENGAGEMENT CENTER,https://childcaresearch.ohio.gov//pdf/002200023211_2024-07-30_ANNUAL.pdf,17170 BROADWAY AVE.,MAPLE HEIGHTS,44137
AVON MONTESSORI ACADEMY,https://childcaresearch.ohio.gov//pdf/000000300575_2023-12-04_ANNUAL.pdf,37701  COLORADO AVENUE STE A-D,AVON,44011
AWESOME KIDS CHILDCARE LLC,https://childcaresearch.ohio.gov//pdf/002170015651_2024-03-27_ANNUAL.pdf,4753 NORTHFIELD ROAD,NORTH RANDALL,44128
BABIES AND BEYOND CHILDCARE LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002220026870_2024-10-17_ANNUAL.pdf,3030 SULLIVANT AVE,COLUMBUS,43204
BABIES N BEYOND CHILDCARE,https://childcaresearch.ohio.gov//pdf/002220027021_2024-09-11_ANNUAL.pdf,3125 DOUGLAS ROAD,TOLEDO,43606
BABY LAND,https://childcaresearch.ohio.gov//pdf/000000202312_2024-02-20_ANNUAL.pdf,1250 ANSEL DRIVE,KETTERING,45419
BABY ROOTS CHILD CARE CENTER,https://childcaresearch.ohio.gov//pdf/002200021661_2024-11-26_ANNUAL.pdf,3900 GALLIA STREET,NEW BOSTON,45662
BABY STEPS ENRICHMENT CENTER LLC,https://childcaresearch.ohio.gov//pdf/002200021329_2024-08-16_ANNUAL.pdf,3369 EAST MAIN STREET,COLUMBUS,43213
BAINBRIDGE CHRISTIAN PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000305823_2024-12-04_ANNUAL.pdf,17989 CHILLICOTHE ROAD,CHAGRIN FALLS,44023
BALANCED FAMILY ACADEMY,https://childcaresearch.ohio.gov//pdf/002190019834_2024-09-19_ANNUAL.pdf,870 MICHIGAN AVE,COLUMBUS,43215
BALANCED FAMILY ACADEMY,https://childcaresearch.ohio.gov//pdf/002190020193_2024-12-17_ANNUAL.pdf,1347 W 5TH AVE,COLUMBUS,43212
BALANCED FAMILY ACADEMY CLUBHOUSE,https://childcaresearch.ohio.gov//pdf/000000400944_2024-08-26_ANNUAL.pdf,1717 BETHEL RD,COLUMBUS,43220
BALANCED FAMILY ACADEMY GRANDVIEW,https://childcaresearch.ohio.gov//pdf/000000400377_2025-01-07_ANNUAL.pdf,707 GRANDVIEW CROSSING WAY,COLUMBUS,43215
BALANCED FAMILY ACADEMY GREENHOUSE,https://childcaresearch.ohio.gov//pdf/002180018679_2024-03-04_ANNUAL.pdf,1727 BETHEL RD,COLUMBUS,43220
BALANCED FAMILY ACADEMY GROVE CITY,https://childcaresearch.ohio.gov//pdf/002220025664_2024-02-20_ANNUAL.pdf,5849 HOOVER RD,GROVE CITY,43123
BALANCED FAMILY ACADEMY OF CLINTONVILLE,https://childcaresearch.ohio.gov//pdf/002190020809_2024-01-10_ANNUAL.pdf,3100 N HIGH ST,COLUMBUS,43202
BALANCED FAMILY ACADEMY OF CLINTONVILLE (25 E CALIFORNIA),https://childcaresearch.ohio.gov//pdf/002220026704_2024-09-16_ANNUAL.pdf,25 EAST CALIFORNIA AVE,COLUMBUS,43202
BALANCED FAMILY ACADEMY OF DUBLIN,https://childcaresearch.ohio.gov//pdf/002200022143_2024-01-22_ANNUAL.pdf,5900 INNOVATION DRIVE,DUBLIN,43016
BALANCED FAMILY ACADEMY OF DUBLIN,https://childcaresearch.ohio.gov//pdf/002190019347_2024-07-25_ANNUAL.pdf,6033 PERIMETER DR,DUBLIN,43017
BALANCED FAMILY ACADEMY OF DUBLIN BRADENTON,https://childcaresearch.ohio.gov//pdf/002230028405_2025-01-07_ANNUAL.pdf,255 BRADENTON AVENUE,DUBLIN,43017
BALANCED FAMILY ACADEMY OF POWELL,https://childcaresearch.ohio.gov//pdf/002230028378_2024-11-26_ANNUAL.pdf,3561 HOME ROAD,POWELL,43065
BALANCED FAMILY ACADEMY PLAYHOUSE,https://childcaresearch.ohio.gov//pdf/002220025649_2024-10-17_ANNUAL.pdf,1707 BETHEL RD,COLUMBUS,43220
BALANCED FAMILY ACADEMY TREEHOUSE,https://childcaresearch.ohio.gov//pdf/000000400726_2024-01-24_ANNUAL.pdf,5150 REED RD,COLUMBUS,43220
BARBER YMCA AFTER SCHOOL,https://childcaresearch.ohio.gov//pdf/002210025005_2024-09-05_ANNUAL.pdf,665 GARRY ROAD,AKRON,44305
BARNESVILLE HEAD START,https://childcaresearch.ohio.gov//pdf/000000100406_2024-02-12_ANNUAL.pdf,210 W CHURCH ST,BARNESVILLE,43713
"BARNESVILLE NURSERY SCHOOL, LLC",https://childcaresearch.ohio.gov//pdf/000000104686_2023-12-12_ANNUAL.pdf,917 SHAMROCK DRIVE,BARNESVILLE,43713
BARREL OF MONKEYS,https://childcaresearch.ohio.gov//pdf/000000100104_2024-01-04_ANNUAL.pdf,640 S. CANFIELD NILES ROAD,AUSTINTOWN,44515
BARRINGTON SCHOOL,https://childcaresearch.ohio.gov//pdf/000000401160_2024-07-12_ANNUAL.pdf,4895 SAWMILL RD,COLUMBUS,43235
BARRINGTON SCHOOL,https://childcaresearch.ohio.gov//pdf/002170014317_2024-08-27_ANNUAL.pdf,1123 BETHEL RD,COLUMBUS,43220
BARRINGTON SCHOOL,https://childcaresearch.ohio.gov//pdf/000000400849_2024-09-18_ANNUAL.pdf,6046 TARA HILL,DUBLIN,43017
BARRINGTON SCHOOL,https://childcaresearch.ohio.gov//pdf/000000401155_2024-02-20_ANNUAL.pdf,7100 MUIRFIELD DR,DUBLIN,43017
BARRINGTON SCHOOL,https://childcaresearch.ohio.gov//pdf/000000401158_2024-07-11_ANNUAL.pdf,4780 CEMETERY RD,HILLIARD,43026
BARRINGTON SCHOOL,https://childcaresearch.ohio.gov//pdf/000000400825_2024-08-14_ANNUAL.pdf,10655 SAWMILL PKWY,POWELL,43065
BARRINGTON SCHOOL,https://childcaresearch.ohio.gov//pdf/002170014212_2024-07-30_ANNUAL.pdf,600 WORTHINGTON WOODS BLVD,WORTHINGTON,43085
BARRINGTON SCHOOL,https://childcaresearch.ohio.gov//pdf/002200022120_2024-08-06_ANNUAL.pdf,401 PARK ROAD,WORTHINGTON,43085
BARRINGTON SCHOOL OF NEW ALBANY,https://childcaresearch.ohio.gov//pdf/002210024368_2024-11-25_ANNUAL.pdf,8415 WALTON PARKWAY,NEW ALBANY,43054
BAY PRESBYTERIAN PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000300459_2025-01-07_ANNUAL.pdf,25415 LAKE RD,BAY VILLAGE,44140
BAZETTA CHRISTIAN CHURCH CHILD CARE CENTER,https://childcaresearch.ohio.gov//pdf/000000102690_2024-08-06_ANNUAL.pdf,4131 HOAGLAND-BLACKSTUB,CORTLAND,44410
BEATTY AVENUE HEAD START,https://childcaresearch.ohio.gov//pdf/000000408204_2024-09-04_ANNUAL.pdf,1127 BEATTY AVENUE,CAMBRIDGE,43725
BEAUTIFUL SAVIOR LUTHERAN PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000401007_2024-09-10_ANNUAL.pdf,3924 HOME RD.,POWELL,43065
BEAVERCREEK CHRISTIAN LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000402679_2024-02-14_ANNUAL.pdf,1850 N FAIRFIELD ROAD,BEAVERCREEK,45432
BEDFORD HEIGHTS DAY CARE & NURSERY CENTER INC,https://childcaresearch.ohio.gov//pdf/000000300935_2024-08-12_ANNUAL.pdf,21881 LIBBY RD,BEDFORD HEIGHTS,44146
BEE BRILLIANT LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002220025932_2024-08-13_ANNUAL.pdf,6262 DALY RD,CINCINNATI,45224
BEE CREATIVE CHILD CARE,https://childcaresearch.ohio.gov//pdf/000000500186_2024-12-17_ANNUAL.pdf,5252 HEATHERDOWNS,TOLEDO,43614
BEE MY BABY LAKEWOOD CHILDCARE,https://childcaresearch.ohio.gov//pdf/002200021242_2024-08-23_ANNUAL.pdf,14321 DETROIT AVE.,LAKEWOOD,44107
BEE MY BABY NORTH OLMSTED CHILDCARE,https://childcaresearch.ohio.gov//pdf/002190020893_2024-11-13_ANNUAL.pdf,23789 LORAIN ROAD,NORTH OLMSTED,44070
BEEHIVE LEARNING CENTER LLC.,https://childcaresearch.ohio.gov//pdf/000000201362_2024-07-24_ANNUAL.pdf,7671 COLERAIN AVE.,CINCINNATI,45239
BEFORE AND AFTER SCHOOL PROGRAM/PIKE COUNTY YMCA,https://childcaresearch.ohio.gov//pdf/002180017771_2023-11-02_ANNUAL.pdf,400 PRIDE DRIVE,WAVERLY,45690
BEGINNERS WORLD DAY CARE CENTER,https://childcaresearch.ohio.gov//pdf/000000302974_2024-07-11_ANNUAL.pdf,7005 ROYALTON ROAD,NORTH ROYALTON,44133
BEGINNING EDUCATION AND READINESS SCHOOL,https://childcaresearch.ohio.gov//pdf/000000409040_2024-02-13_ANNUAL.pdf,3660 KENNY RD,UPPER ARLINGTON,43220
BELIEVE ACADEMY,https://childcaresearch.ohio.gov//pdf/002190020404_2024-09-24_ANNUAL.pdf,1 AURORA GONZALEZ DR,TOLEDO,43609
BELIEVERS EARLY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000102415_2024-08-28_ANNUAL.pdf,2577 SCHENLEY AVE NE,WARREN,44483
"BELLA BEE ACADEMY, INC",https://childcaresearch.ohio.gov//pdf/000000207743_2023-10-10_ANNUAL.pdf,6886 SALEM RD,CINCINNATI,45230
BELLBROOK COMMUNITY CHURCH PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000401043_2024-10-22_ANNUAL.pdf,3815 W FRANKLIN ST,BELLBROOK,45305
BELPRE ELEMENTARY KIDS ON CAMPUS,https://childcaresearch.ohio.gov//pdf/002220026992_2024-10-30_ANNUAL.pdf,2000 ROCKLAND AVE,BELPRE,45714
BELPRE HEAD START,https://childcaresearch.ohio.gov//pdf/000000400053_2023-12-04_ANNUAL.pdf,2014 ROCKLAND AVENUE,BELPRE,45714
BELPRE HIGH SCHOOL KIDS ON CAMPUS,https://childcaresearch.ohio.gov//pdf/002210025227_2023-12-07_ANNUAL.pdf,612 3RD STREET,BELPRE,45714
BEREA HORIZON EDUCATION CENTER,https://childcaresearch.ohio.gov//pdf/002190021097_2025-01-03_ANNUAL.pdf,555 WEST BAGLEY,BEREA,44017
BEST BEGINNINGS PRESCHOOL INC,https://childcaresearch.ohio.gov//pdf/000000302875_2024-11-19_ANNUAL.pdf,25800 HILLIARD BOULEVARD,WESTLAKE,44145
BEST BUDDIES.INC,https://childcaresearch.ohio.gov//pdf/000000100327_2024-09-26_ANNUAL.pdf,1402 WEST MAPLE,NORTH CANTON,44720
BEST EARLY DEVELOPMENT CENTER LLC,https://childcaresearch.ohio.gov//pdf/002200021595_2024-09-19_ANNUAL.pdf,7140 MONTGOMERY RD,CINCINNATI,45236
BETHEL CHRISTIAN PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000503154_2023-12-06_ANNUAL.pdf,4014 COUNTY ROAD 304,ADA,45810
BETHEL COMMUNITY PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000405796_2024-09-04_ANNUAL.pdf,1220 BETHEL ROAD,COLUMBUS,43220
BETHEL PRESCHOOL & CHILD CARE,https://childcaresearch.ohio.gov//pdf/000000100243_2024-12-05_ANNUAL.pdf,3852 EVERETT ROAD,RICHFIELD,44286
BETHESDA CHILDCARE CENTER,https://childcaresearch.ohio.gov//pdf/000000306923_2024-07-26_ANNUAL.pdf,28607 WOLF ROAD,BAY VILLAGE,44140
BETHLEHEM LUTHERAN PRESCHOOL AND EXTENDED CARE,https://childcaresearch.ohio.gov//pdf/000000501123_2024-12-09_ANNUAL.pdf,220 CEDAR ST,PEMBERVILLE,43450
BETSEY'S LEARNING TREE CENTER,https://childcaresearch.ohio.gov//pdf/000000401240_2024-09-05_ANNUAL.pdf,300 FOURTH ST,MARIETTA,45750
BETSEY'S LEARNING TREE INFANT/TODDLER CENTER,https://childcaresearch.ohio.gov//pdf/000000410461_2024-10-30_ANNUAL.pdf,316 FOURTH ST,MARIETTA,45750
BEVERLY METHODIST PRESCHOOL,https://childcaresearch.ohio.gov//pdf/002220026756_2024-11-13_ANNUAL.pdf,700 PARK ST,BEVERLY,45744
BEXLEY UNITED METHODIST PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000400016_2024-02-14_ANNUAL.pdf,2657 E BROAD ST,COLUMBUS,43209
"BEYOND OUR DREAMS ACADEMY, LLC",https://childcaresearch.ohio.gov//pdf/000000300617_2024-10-01_ANNUAL.pdf,4200 STATE RT. 306,KIRTLAND,44094
"BEYOND THE STARS CHILD CARE GROUP, LLC",https://childcaresearch.ohio.gov//pdf/002180018984_2024-09-04_ANNUAL.pdf,102 VICTORY DRIVE,WAVERLY,45690
BIBLE TEMPLE DAY CARE,https://childcaresearch.ohio.gov//pdf/000000501794_2025-01-03_ANNUAL.pdf,3327 AIRPORT HWY,TOLEDO,43609
BIEDERMAN EDUCATIONAL CENTER,https://childcaresearch.ohio.gov//pdf/000000201498_2024-11-07_ANNUAL.pdf,5314 FOLEY RD,CINCINNATI,45238
BIG ADVENTURES LEARNING CENTER CORP.,https://childcaresearch.ohio.gov//pdf/002200023409_2024-07-18_ANNUAL.pdf,3158 GLENMORE AVE,CINCINNATI,45211
BIG DREAMS SMALL STEPS CHILDCARE,https://childcaresearch.ohio.gov//pdf/002180019064_2024-12-18_ANNUAL.pdf,5550 NORTHFIELD RD,MAPLE HEIGHTS,44137
BIG FISH PRESCHOOL LLC,https://childcaresearch.ohio.gov//pdf/002220026657_2024-11-18_ANNUAL.pdf,9069 ST. RT. 571,ARCANUM,45304
BIG HEARTS LITTLE HANDS LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000400126_2024-12-12_ANNUAL.pdf,14 GRACE DRIVE,POWELL,43065
BIG LOVE LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002190021055_2024-08-15_ANNUAL.pdf,6000 CLEVELAND AVENUE,COLUMBUS,43231
BIG MAMA'S BABIES,https://childcaresearch.ohio.gov//pdf/000000400291_2025-01-08_ANNUAL.pdf,4431 CROSSROADS CT.,COLUMBUS,43232
BIG MAMA'S PLAYHOUSE TOO,https://childcaresearch.ohio.gov//pdf/000000400421_2025-01-08_ANNUAL.pdf,4433 CROSSROAD CENTER,COLUMBUS,43232
"BINATI CHILDCARE TWO, LLC",https://childcaresearch.ohio.gov//pdf/002220027146_2024-09-04_ANNUAL.pdf,3629 CLEVELAND AVE.,COLUMBUS,43224
BINGHAM EARLY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000303214_2024-12-06_ANNUAL.pdf,2421 CENTRAL AVE.,CLEVELAND,44115
BLESS 2 TEACH ENRICHMENT CENTER,https://childcaresearch.ohio.gov//pdf/002210024831_2024-10-07_ANNUAL.pdf,8410 CEDAR AVE,CLEVELAND,44103
BLESSED INTERNATIONAL CHILD CARE,https://childcaresearch.ohio.gov//pdf/002210024796_2024-11-01_ANNUAL.pdf,131-135 EAST CUYAHOGA FALLS AVENUE,AKRON,44310
BLOOMERS DAYCARE CENTER,https://childcaresearch.ohio.gov//pdf/002190020424_2024-02-28_ANNUAL.pdf,1350 VIRGINIA AVE,AKRON,44306
BLOOMING VIEW MONTESSORI ACADEMY,https://childcaresearch.ohio.gov//pdf/002170015526_2024-02-15_ANNUAL.pdf,215 COLUMBUS ROAD,ATHENS,45701
BLOSSOM TRAIL - KIDS CARE LEARNING WORLD,https://childcaresearch.ohio.gov//pdf/002220025582_2024-09-26_ANNUAL.pdf,8594 SANCUS BLVD,COLUMBUS,43240
BLUE ASH YMCA CHILD CARE,https://childcaresearch.ohio.gov//pdf/000000205448_2024-10-23_ANNUAL.pdf,5000 YMCA DRIVE,CINCINNATI,45242
BLUE AVE. HEAD START,https://childcaresearch.ohio.gov//pdf/002230027444_2024-09-26_ANNUAL.pdf,1616 BLUE AVE,ZANESVILLE,43701
BLUE BOOK SCHOOLS INC,https://childcaresearch.ohio.gov//pdf/000000202956_2024-02-06_ANNUAL.pdf,2029 WYOMING ST,DAYTON,45410
BLUE BOOK SCHOOLS INC,https://childcaresearch.ohio.gov//pdf/000000202957_2024-08-07_ANNUAL.pdf,2021 WYOMING ST,DAYTON,45410
BLUE STARS ACADEMY LLC,https://childcaresearch.ohio.gov//pdf/002220027399_2024-10-23_ANNUAL.pdf,1993 ZETTLER CENTER DR,COLUMBUS,43223
BLUFFTON CHILD DEVELOPMENT CENTER,https://childcaresearch.ohio.gov//pdf/000000501653_2024-11-01_ANNUAL.pdf,325 COUNTY LINE RD,BLUFFTON,45817
